Rank,Total_Points_Current_Year,STA,DYN,DYNB,DNF,Last_Year,Peak_Total_Points,Years_Competing,Performance_Growth_Prev_Year,Ranking_Variability_Prev_Year,Years_Since_Last_Best,Years_Until_Peak,CWT_Moderate,CWT_High,CWT_Elite,CWTB_Moderate,CWTB_High,CWTB_Elite,CNF_Moderate,CNF_High,CNF_Elite,FIM_Moderate,FIM_High,FIM_Elite
7.0,422.9,77.4,92.5,0,77,2012,422.9,0,0.0,0.0,0,0,True,False,False,False,False,False,True,False,False,False,True,False
2.0,405.5,60,75,0,77.5,2007,405.5,0,0.0,0.0,0,0,False,True,False,False,False,False,False,True,False,True,False,False
4.0,206.4,81.4,62,0,0,2000,206.4,0,0.0,0.0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
6.0,465.8,108.8,101.5,0,75.5,2014,465.8,0,0.0,0.0,0,0,True,False,False,False,False,False,True,False,False,False,True,False
10.0,448.5,53,96,0,66.5,2019,652.1,0,0.0,0.0,-6,6,False,False,True,False,False,False,True,False,False,False,True,False
5.0,485.8,78.8,96,0,67,2019,652.1,1,0.0,0.0,-5,5,False,False,True,False,False,False,True,False,False,False,True,False
5.0,502.2,83.2,90.5,0,76.5,2019,652.1,2,37.30000000000001,2.5,-4,4,False,False,True,False,False,False,False,True,False,False,False,True
2.0,496.4,85.4,100.5,0,63.5,2019,652.1,3,16.399999999999977,0.0,-3,3,False,False,True,False,False,False,False,True,False,False,True,False
3.0,495.5,73,91.5,0,67,2019,652.1,4,-5.800000000000011,1.5,-2,2,False,False,True,False,False,False,False,True,False,False,False,True
8.0,442.3,75.8,104,0,69.5,2019,652.1,5,-0.8999999999999773,0.5,-1,1,False,False,True,False,False,False,False,False,False,False,True,False
3.0,652.1,75.6,110.5,91.5,75.5,2019,652.1,6,-53.19999999999999,2.5,0,0,False,True,False,False,False,True,True,False,False,False,False,True
2.0,73.0,0,0,0,0,1997,73.0,0,209.8,2.5,0,0,False,True,False,False,False,False,False,False,False,False,False,False
8.0,392.0,106,100,108,78,2020,392.0,0,0.0,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
8.0,422.8,54.8,75,0,56,2012,422.8,0,0.0,0.0,0,0,False,True,False,False,False,False,False,True,False,False,True,False
7.0,517.0,86,100,89,75,2021,517.0,0,0.0,0.0,0,0,True,False,False,False,False,False,True,False,False,True,False,False
3.0,35.0,0,0,0,0,1998,35.0,0,0.0,0.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
3.0,376.2,78.2,99.5,0,65.5,2021,754.4,0,0.0,0.0,-16,16,False,True,False,False,False,False,True,False,False,False,False,False
6.0,385.4,75.4,103.5,0,63.5,2021,754.4,1,0.0,0.0,-15,15,False,True,False,False,False,False,True,False,False,False,False,False
2.0,475.6,90.6,125,0,69,2021,754.4,3,9.199999999999989,1.5,-13,13,False,False,True,False,False,False,False,False,False,False,True,False
2.0,534.7,102.2,90.5,0,58,2021,754.4,4,90.20000000000005,2.0,-12,12,False,False,True,False,False,False,False,True,False,False,True,False
3.0,477.6,96.6,116,0,75,2021,754.4,6,59.10000000000002,0.0,-10,10,False,True,False,False,False,False,False,False,False,False,False,True
1.0,609.0,94,121,0,80,2021,754.4,7,-57.10000000000002,0.5,-9,9,False,False,True,False,False,False,False,True,False,False,False,True
1.0,648.6,102.6,117.5,0,97.5,2021,754.4,8,131.39999999999998,1.0,-8,8,False,False,True,False,False,False,False,False,True,False,False,True
1.0,540.6,90.6,117,0,0,2021,754.4,9,39.60000000000002,0.0,-7,7,False,False,True,False,False,False,False,False,True,False,False,True
1.0,625.7,96.2,129,0,91.5,2021,754.4,10,-108.0,0.0,-6,6,False,False,True,False,False,False,False,True,False,False,False,True
1.0,533.4,90.4,129,0,0,2021,754.4,11,85.10000000000002,0.0,-5,5,False,False,True,False,False,False,False,True,False,False,False,True
1.0,646.1,95.6,125,0,78.5,2021,754.4,13,-92.30000000000007,0.0,-3,3,False,False,True,False,False,False,False,False,True,False,False,True
1.0,754.4,88.4,128,0,93,2021,754.4,16,112.70000000000005,0.0,0,0,False,False,True,False,False,True,False,True,False,False,False,True
6.0,449.9,65.4,105,0,87.5,2018,449.9,0,108.29999999999995,0.0,0,0,False,True,False,False,False,False,True,False,False,False,True,False
10.0,404.5,61,86.5,0,72,2017,428.0,0,0.0,0.0,-1,1,True,False,False,False,False,False,True,False,False,False,True,False
7.0,428.0,61,86.5,0,69.5,2017,428.0,1,0.0,0.0,0,0,False,True,False,False,False,False,False,True,False,False,True,False
8.0,439.7,78.2,113.5,0,74,2016,439.7,0,23.5,1.5,0,0,False,False,True,False,False,False,False,False,False,False,True,False
4.0,426.7,86.2,110.5,0,74,2016,439.7,1,0.0,0.0,1,-1,False,False,True,False,False,False,True,False,False,False,False,False
2.0,0.0,0,0,0,0,2000,191.7,0,-13.0,2.0,-6,6,False,False,False,False,False,False,False,False,False,False,False,False
3.0,70.0,0,70,0,0,2000,191.7,1,0.0,0.0,-5,5,False,False,False,False,False,False,False,False,False,False,False,False
1.0,82.0,0,82,0,0,2000,191.7,2,70.0,0.5,-4,4,False,False,False,False,False,False,False,False,False,False,False,False
6.0,191.7,72.2,63.5,0,0,2000,191.7,6,12.0,1.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
5.0,459.2,84.2,77,0,55,2012,459.2,0,109.69999999999999,2.5,0,0,False,False,True,False,False,False,False,True,False,False,True,False
4.0,446.6,78.6,91,0,50,2012,459.2,1,0.0,0.0,1,-1,False,True,False,False,False,False,False,True,False,False,True,False
9.0,439.8,73.8,91.5,0,75.5,2014,439.8,0,-12.599999999999966,0.5,0,0,False,True,False,False,False,False,True,False,False,False,True,False
6.0,434.2,84.2,99,0,71,2017,434.2,0,0.0,0.0,0,0,False,True,False,False,False,False,True,False,False,False,True,False
9.0,417.1,70.6,103,0,77.5,2017,434.2,1,0.0,0.0,1,-1,True,False,False,False,False,False,True,False,False,False,True,False
8.0,412.4,85.4,104,0,94,2017,434.2,5,-17.099999999999966,1.5,5,-5,False,True,False,False,False,False,True,False,False,True,False,False
9.0,417.1,73.6,91,0,82.5,2017,434.2,6,-4.7000000000000455,0.5,6,-6,True,False,False,False,False,False,True,False,False,True,False,False
10.0,385.6,73.6,78,0,54,2012,385.6,0,4.7000000000000455,0.5,0,0,False,True,False,False,False,False,True,False,False,False,True,False
3.0,299.2,79.2,67,0,45,2005,377.9,0,0.0,0.0,-2,2,False,True,False,False,False,False,False,False,False,True,False,False
1.0,377.9,80.4,62.5,0,50,2005,377.9,2,0.0,0.0,0,0,False,True,False,False,False,False,True,False,False,False,True,False
7.0,288.7,74.2,64.5,0,0,2005,377.9,3,78.69999999999999,1.0,1,-1,True,False,False,False,False,False,True,False,False,True,False,False
6.0,429.0,103,62.5,0,37.5,2017,429.0,0,-89.19999999999999,3.0,0,0,False,True,False,False,False,False,True,False,False,False,False,True
7.0,258.2,60.2,52.5,0,39.5,2004,258.2,0,0.0,0.0,0,0,True,False,False,False,False,False,True,False,False,False,False,False
1.0,81.0,0,0,0,0,1999,81.0,0,0.0,0.0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
9.0,142.0,50,50,0,0,2000,142.0,0,0.0,0.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
2.0,323.0,76,64,0,0,2003,323.0,0,0.0,0.0,0,0,False,True,False,False,False,False,False,False,False,False,False,True
5.0,258.6,72.6,0,0,0,2003,323.0,1,0.0,0.0,1,-1,False,True,False,False,False,False,False,False,False,False,False,True
10.0,435.3,68.8,86.5,0,73,2014,435.3,0,-64.39999999999998,1.5,0,0,False,True,False,False,False,False,False,True,False,False,True,False
4.0,399.1,85.6,90.5,0,75,2009,431.2,0,0.0,0.0,-2,2,False,True,False,False,False,False,True,False,False,False,False,False
5.0,383.0,84,86.5,0,62.5,2009,431.2,1,0.0,0.0,-1,1,False,True,False,False,False,False,False,True,False,False,False,False
5.0,431.2,84.2,100,0,75,2009,431.2,2,-16.100000000000023,0.5,0,0,False,False,True,False,False,False,False,True,False,False,False,False
4.0,0.0,0,0,0,0,1998,0.0,0,48.19999999999999,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
1.0,374.2,90.2,104.5,102.5,77,2025,374.2,0,0.0,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
8.0,375.5,0,122,0,87.5,2008,436.7,0,0.0,0.0,-1,1,False,False,True,False,False,False,True,False,False,False,False,False
3.0,436.7,98.2,124,0,106.5,2008,436.7,1,0.0,0.0,0,0,False,False,True,False,False,False,False,False,False,False,False,False
2.0,371.0,97,87.5,104.5,82,2025,371.0,0,61.19999999999999,2.5,0,0,False,False,False,False,False,False,False,False,False,False,False,False
3.0,673.7,72.2,102.5,61.5,77.5,2021,673.7,0,0.0,0.0,0,0,False,False,True,False,False,True,False,True,False,False,False,True
1.0,61.0,0,0,0,0,1997,65.0,0,0.0,0.0,-3,3,False,True,False,False,False,False,False,False,False,False,False,False
4.0,62.0,0,0,0,0,1997,65.0,2,0.0,0.0,-1,1,False,True,False,False,False,False,False,False,False,False,False,False
3.0,65.0,0,0,0,0,1997,65.0,3,1.0,1.5,0,0,False,True,False,False,False,False,False,False,False,False,False,False
7.0,376.1,89.6,75,0,58.5,2007,376.1,0,3.0,0.5,0,0,False,True,False,False,False,False,False,False,False,False,True,False
10.0,229.8,84.8,81,0,0,2004,229.8,0,0.0,0.0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
8.0,569.6,66.6,57.5,74.5,50,2024,668.8,0,0.0,0.0,-2,2,False,True,False,False,True,False,True,False,False,False,True,False
2.0,668.8,69.8,93.5,87,69.5,2024,668.8,2,0.0,0.0,0,0,False,False,True,False,False,True,True,False,False,False,False,True
9.0,563.4,81.4,0,88,68,2022,563.4,0,99.19999999999993,3.0,0,0,False,True,False,False,True,False,False,True,False,False,False,True
6.0,605.1,88.6,0,127,108.5,2024,605.1,0,0.0,0.0,0,0,False,False,False,False,False,True,False,True,False,False,False,True
7.0,146.8,76.8,70,0,0,2000,146.8,0,0.0,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
1.0,62.5,0,0,0,62.5,1993,62.5,0,0.0,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
6.0,600.0,0,103.5,102.5,68,2023,600.0,0,0.0,0.0,0,0,False,False,True,False,True,False,False,True,False,False,True,False
5.0,600.7,93.2,100,100,69.5,2023,600.7,0,0.0,0.0,0,0,False,False,True,False,True,False,False,False,False,False,True,False
9.0,452.7,105.2,95.5,0,58,2013,452.7,0,0.0,0.0,0,0,False,False,True,False,False,False,False,False,False,False,False,True
2.0,606.4,104.4,125,0,100,2018,606.4,0,0.0,0.0,0,0,False,False,True,False,False,False,False,True,False,False,False,True
5.0,450.5,117,130,0,101.5,2018,606.4,3,0.0,0.0,3,-3,False,False,True,False,False,False,False,False,False,False,False,False
3.0,468.7,77.2,71.5,0,53,2010,468.7,0,-155.89999999999998,1.5,0,0,False,False,True,False,False,False,False,True,False,False,True,False
4.0,447.1,80.6,87.5,0,0,2010,468.7,1,0.0,0.0,1,-1,False,False,True,False,False,False,False,True,False,False,False,True
8.0,242.6,63.6,55.5,0,42.5,2003,242.6,0,-21.599999999999966,0.5,0,0,True,False,False,False,False,False,False,False,False,True,False,False
3.0,666.9,75.4,112.5,109,70,2022,666.9,0,0.0,0.0,0,0,False,True,False,False,True,False,True,False,False,False,True,False
10.0,238.4,71.4,75,0,50,2006,406.2,0,0.0,0.0,-3,3,True,False,False,False,False,False,False,False,False,False,False,False
3.0,406.2,82.2,103.5,0,65.5,2006,406.2,3,0.0,0.0,0,0,True,False,False,False,False,False,True,False,False,True,False,False
2.0,222.2,81.2,75,0,0,2007,408.5,0,167.79999999999998,3.5,-3,3,False,True,False,False,False,False,False,False,False,False,False,False
1.0,324.2,85.2,86,0,67,2007,408.5,1,0.0,0.0,-2,2,False,True,False,False,False,False,False,False,False,False,False,False
1.0,405.7,78.2,91.5,0,69,2007,408.5,2,102.0,0.5,-1,1,False,True,False,False,False,False,False,False,False,False,False,True
1.0,408.5,87,76.5,0,0,2007,408.5,3,81.5,0.0,0,0,False,False,True,False,False,False,True,False,False,False,False,True
3.0,316.9,84.4,86.5,0,0,2007,408.5,4,2.8000000000000114,0.0,1,-1,False,True,False,False,False,False,False,True,False,False,False,False
5.0,395.8,108.8,50,0,56,2007,408.5,6,-91.60000000000002,1.0,3,-3,False,False,True,False,False,False,False,True,False,False,False,False
10.0,371.6,86.6,0,0,0,2007,408.5,7,78.90000000000003,1.0,4,-4,False,False,True,False,False,False,False,True,False,False,True,False
7.0,333.7,75.2,101.5,105,52,2025,333.7,0,-24.19999999999999,2.5,0,0,False,False,False,False,False,False,False,False,False,False,False,False
6.0,557.8,55.8,0,100,78,2021,557.8,0,0.0,0.0,0,0,False,False,True,False,False,True,False,True,False,False,True,False
3.0,206.5,84,62.5,0,0,2001,206.5,0,0.0,0.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
9.0,159.4,84.4,75,0,0,2001,206.5,1,0.0,0.0,1,-1,False,False,False,False,False,False,False,False,False,False,False,False
4.0,622.8,69.8,119,113.5,89.5,2023,622.8,0,-47.099999999999994,3.0,0,0,True,False,False,False,True,False,False,True,False,False,True,False
2.0,487.1,88.6,104,0,64.5,2010,487.1,0,0.0,0.0,0,0,False,False,True,False,False,False,True,False,False,False,True,False
7.0,430.6,66.6,100,0,54,2009,430.6,0,0.0,0.0,0,0,False,True,False,False,False,False,True,False,False,False,True,False
1.0,652.2,60.2,87.5,106,61.5,2025,652.2,0,0.0,0.0,0,0,False,True,False,False,False,True,False,True,False,False,False,True
6.0,343.8,60.8,93.5,104.5,85,2025,652.2,2,0.0,0.0,2,-2,False,False,False,False,False,False,False,False,False,False,False,False
10.0,142.0,75,0,0,0,2000,142.0,0,-308.40000000000003,2.5,0,0,False,True,False,False,False,False,False,False,False,False,False,False
8.0,189.9,71.4,62.5,0,0,2003,342.7,0,0.0,0.0,-2,2,True,False,False,False,False,False,False,False,False,False,False,False
6.0,251.3,75.8,71.5,0,46,2003,342.7,1,0.0,0.0,-1,1,True,False,False,False,False,False,False,False,False,False,False,False
3.0,342.7,74.2,67,0,57.5,2003,342.7,2,61.400000000000006,1.0,0,0,True,False,False,False,False,False,True,False,False,True,False,False
8.0,452.9,71.4,89,0,62.5,2013,452.9,0,91.39999999999998,1.5,0,0,False,True,False,False,False,False,True,False,False,False,True,False
9.0,438.4,81.4,90,0,65,2017,452.6,0,0.0,0.0,-2,2,False,True,False,False,False,False,False,True,False,False,True,False
4.0,452.6,69.6,92,0,70,2017,452.6,2,0.0,0.0,0,0,False,True,False,False,False,False,True,False,False,False,True,False
5.0,356.3,62.8,57,63.5,38,2025,356.3,0,14.200000000000045,2.5,0,0,False,True,False,False,True,False,False,False,False,False,False,False
6.0,425.0,94,100,0,0,2015,511.8,0,0.0,0.0,-2,2,False,False,True,False,False,False,True,False,False,False,True,False
3.0,511.8,89.8,111.5,0,67.5,2015,511.8,2,0.0,0.0,0,0,False,False,True,False,False,False,False,True,False,False,True,False
7.0,472.3,72.8,88,0,79.5,2015,511.8,3,86.80000000000001,1.5,1,-1,False,False,True,False,False,False,True,False,False,False,False,True
3.0,462.7,96.2,100,0,69.5,2017,462.7,0,-39.5,2.0,0,0,False,True,False,False,False,False,True,False,False,False,True,False
5.0,431.0,78,50,0,75,2017,462.7,1,0.0,0.0,1,-1,False,True,False,False,False,False,True,False,False,False,True,False
8.0,540.8,76.8,0,75,55,2019,540.8,0,-31.69999999999999,1.0,0,0,False,False,True,False,True,False,False,True,False,False,False,True
10.0,437.1,77.6,92,0,62.5,2015,437.1,0,0.0,0.0,0,0,False,True,False,False,False,False,False,True,False,True,False,False
10.0,387.1,73.6,87.5,0,56,2011,387.1,0,0.0,0.0,0,0,True,False,False,False,False,False,True,False,False,False,True,False
10.0,561.3,84.8,75,101.5,0,2022,561.3,0,0.0,0.0,0,0,False,False,True,False,True,False,True,False,False,False,True,False
4.0,360.4,63.4,0,53,0,2025,360.4,0,0.0,0.0,0,0,False,True,False,False,True,False,True,False,False,False,True,False
9.0,358.3,73.8,75,0,62.5,2009,418.2,0,0.0,0.0,-1,1,False,True,False,False,False,False,False,False,False,False,True,False
8.0,418.2,72.2,52,0,52,2009,418.2,1,0.0,0.0,0,0,False,True,False,False,False,False,False,True,False,False,True,False
8.0,508.8,68.8,78.5,77.5,50,2021,508.8,0,59.89999999999998,0.5,0,0,False,True,False,False,True,False,True,False,False,True,False,False
3.0,366.0,64,108.5,101,92.5,2025,366.0,0,0.0,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
4.0,0.0,0,0,0,0,1999,0.0,0,0.0,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
9.0,240.0,62,50,0,35,2003,240.0,0,0.0,0.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
10.0,233.6,72.6,50,0,0,2002,233.6,0,0.0,0.0,0,0,True,False,False,False,False,False,False,False,False,True,False,False
6.0,593.7,83.2,0,108,85.5,2022,593.7,0,0.0,0.0,0,0,False,True,False,False,True,False,False,True,False,False,True,False
4.0,421.2,84.2,89.5,0,75.5,2009,431.1,0,0.0,0.0,-1,1,False,True,False,False,False,False,True,False,False,True,False,False
6.0,431.1,83.6,97,0,79.5,2009,431.1,1,0.0,0.0,0,0,False,True,False,False,False,False,True,False,False,True,False,False
10.0,414.9,70.4,98.5,0,56,2018,436.2,0,9.900000000000034,1.0,-1,1,False,True,False,False,False,False,True,False,False,False,True,False
10.0,436.2,72.2,85.5,0,65.5,2018,436.2,1,0.0,0.0,0,0,False,True,False,False,False,False,True,False,False,False,True,False
10.0,521.4,67.4,112.5,90.5,92,2019,521.4,0,21.30000000000001,0.0,0,0,True,False,False,True,False,False,True,False,False,False,False,False
5.0,198.9,77.4,65.5,0,0,2001,201.9,0,0.0,0.0,-1,1,True,False,False,False,False,False,False,False,False,False,False,False
6.0,201.9,73.4,66.5,0,0,2001,201.9,1,0.0,0.0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
8.0,246.2,67.2,53.5,0,28.5,2005,303.6,0,3.0,0.5,-3,3,True,False,False,False,False,False,False,False,False,True,False,False
9.0,231.2,78.2,0,0,0,2005,303.6,2,0.0,0.0,-1,1,True,False,False,False,False,False,True,False,False,False,True,False
5.0,303.6,67.6,63,0,0,2005,303.6,3,-15.0,0.5,0,0,False,True,False,False,False,False,True,False,False,False,True,False
9.0,312.3,64.8,91,89.5,67,2025,312.3,0,72.40000000000003,2.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
4.0,289.9,73.4,61,0,42.5,2004,289.9,0,0.0,0.0,0,0,False,True,False,False,False,False,True,False,False,False,False,False
6.0,368.5,82,101.5,0,0,2008,368.5,0,0.0,0.0,0,0,False,False,True,False,False,False,False,False,False,False,True,False
7.0,587.4,84.4,92,86.5,65.5,2024,587.4,0,0.0,0.0,0,0,True,False,False,False,True,False,True,False,False,False,True,False
8.0,443.1,72.6,93,0,60.5,2014,443.1,0,0.0,0.0,0,0,False,True,False,False,False,False,True,False,False,False,True,False
8.0,316.5,0,110,116,90.5,2025,316.5,0,0.0,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
3.0,225.4,73.4,0,0,0,2006,356.3,0,0.0,0.0,-3,3,False,True,False,False,False,False,False,False,False,False,True,False
2.0,356.3,84.8,66.5,0,0,2006,356.3,3,0.0,0.0,0,0,False,False,True,False,False,False,False,False,False,False,False,True
9.0,353.8,61.8,78,0,0,2006,356.3,5,130.9,0.5,2,-2,False,False,True,False,False,False,False,False,False,False,False,True
5.0,420.3,110.8,136.5,0,93,2016,420.3,0,-2.5,3.5,0,0,False,True,False,False,False,False,False,False,False,False,False,False
7.0,444.0,73,106,0,0,2018,444.0,0,0.0,0.0,0,0,False,False,True,False,False,False,True,False,False,False,False,True
9.0,409.4,74.4,49,0,56,2022,837.8,0,0.0,0.0,-13,13,False,True,False,False,False,False,False,True,False,False,True,False
3.0,461.3,85.8,102,0,73.5,2022,837.8,1,0.0,0.0,-12,12,False,False,True,False,False,False,False,False,False,False,False,True
4.0,465.6,87.6,112.5,0,82.5,2022,837.8,2,51.900000000000034,3.0,-11,11,False,False,False,False,False,False,False,True,False,False,False,True
2.0,529.3,84.8,124.5,0,90,2022,837.8,3,4.300000000000011,0.5,-10,10,False,True,False,False,False,False,True,False,False,False,True,False
6.0,472.6,88.6,125,0,103,2022,837.8,4,63.69999999999993,1.0,-9,9,False,True,False,False,False,False,False,False,False,False,True,False
4.0,507.5,96,125.5,0,107,2022,837.8,6,-56.69999999999993,2.0,-7,7,False,False,False,False,False,False,False,True,False,False,False,True
1.0,753.0,115,130.5,125,112.5,2022,837.8,10,34.89999999999998,1.0,-3,3,False,False,True,False,False,False,False,True,False,False,True,False
1.0,837.8,97.8,130,145,125,2022,837.8,13,245.5,1.5,0,0,False,False,True,False,False,False,False,True,False,False,False,True
9.0,412.4,72.4,90.5,0,64.5,2012,443.1,0,84.79999999999995,0.0,-1,1,False,True,False,False,False,False,True,False,False,False,True,False
5.0,443.1,68.6,92.5,0,62,2012,443.1,1,0.0,0.0,0,0,False,True,False,False,False,False,True,False,False,False,True,False
8.0,142.0,54,56,0,0,2008,348.6,0,30.700000000000045,2.0,-8,8,True,False,False,False,False,False,False,False,False,False,False,False
10.0,348.6,57.6,79.5,0,57.5,2008,348.6,8,0.0,0.0,0,0,False,True,False,False,False,False,True,False,False,True,False,False
4.0,486.5,83,96,0,53.5,2017,508.2,0,206.60000000000002,1.0,-3,3,False,False,True,False,False,False,True,False,False,False,False,True
1.0,508.2,69.2,103,0,65,2017,508.2,3,0.0,0.0,0,0,False,False,True,False,False,False,False,True,False,False,False,True
2.0,72.0,0,0,0,0,1996,72.0,0,21.69999999999999,1.5,0,0,False,True,False,False,False,False,False,False,False,False,False,False
4.0,644.4,69.4,89.5,84,53.5,2022,644.4,0,0.0,0.0,0,0,False,False,True,False,False,True,False,True,False,False,False,True
8.0,417.8,82.8,102,0,77,2011,417.8,0,0.0,0.0,0,0,False,True,False,False,False,False,False,True,False,False,False,False
5.0,429.7,57.2,57.5,51,43,2020,429.7,0,0.0,0.0,0,0,True,False,False,True,False,False,True,False,False,False,True,False
2.0,604.9,84.4,133,126.5,77,2020,604.9,0,0.0,0.0,0,0,False,True,False,False,True,False,False,False,False,False,True,False
4.0,449.8,65.8,75,86.5,62.5,2020,449.8,0,0.0,0.0,0,0,False,True,False,False,False,False,False,False,False,False,True,False
6.0,414.8,86.8,113,0,75,2010,414.8,0,0.0,0.0,0,0,False,True,False,False,False,False,False,False,False,True,False,False
6.0,428.5,96,130,120,82.5,2021,493.0,0,0.0,0.0,-1,1,False,False,False,False,False,False,False,False,False,False,False,False
9.0,493.0,105,148,138,102,2021,493.0,1,0.0,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
1.0,729.9,102.4,100.5,100.5,75.5,2024,729.9,0,64.5,1.5,0,0,False,True,False,False,False,True,False,True,False,False,False,True
10.0,408.3,73.8,102,0,79.5,2009,408.3,0,0.0,0.0,0,0,False,True,False,False,False,False,False,True,False,False,False,False
9.0,405.7,71.2,89,0,54.5,2010,405.7,0,0.0,0.0,0,0,False,True,False,False,False,False,True,False,False,False,True,False
8.0,253.5,68,77.5,0,0,2013,572.4,0,0.0,0.0,-9,9,False,False,False,False,False,False,True,False,False,False,True,False
1.0,460.7,87.2,89,0,65.5,2013,572.4,1,0.0,0.0,-8,8,False,True,False,False,False,False,True,False,False,False,True,False
2.0,408.0,90,100,0,57,2013,572.4,2,207.2,3.5,-7,7,False,True,False,False,False,False,False,False,False,False,True,False
1.0,506.6,84.6,107,0,75,2013,572.4,4,-52.69999999999999,0.5,-5,5,False,False,True,False,False,False,True,False,False,False,True,False
1.0,540.1,100.6,106.5,0,80,2013,572.4,5,98.60000000000002,0.5,-4,4,False,False,True,False,False,False,False,True,False,False,True,False
3.0,572.4,108.4,117,0,91,2013,572.4,9,33.5,0.0,0,0,False,False,True,False,False,False,False,True,False,False,False,True
6.0,418.1,66.6,65.5,0,47,2016,418.1,0,32.299999999999955,1.0,0,0,False,False,True,False,False,False,False,True,False,False,True,False
1.0,75.0,0,75,0,0,1998,75.0,0,0.0,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
7.0,250.5,72,74.5,0,47,2002,250.5,0,0.0,0.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
7.0,463.8,68.8,93.5,0,55.5,2013,463.8,0,0.0,0.0,0,0,False,False,True,False,False,False,False,True,False,False,True,False
1.0,77.5,0,77.5,0,0,1995,77.5,0,0.0,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
4.0,262.7,80.2,56.5,0,0,2003,262.7,0,0.0,0.0,0,0,True,False,False,False,False,False,True,False,False,True,False,False
7.0,361.3,90.8,86.5,0,57,2008,361.3,0,0.0,0.0,0,0,False,True,False,False,False,False,False,False,False,True,False,False
6.0,572.4,77.4,90.5,83,67.5,2019,572.4,0,0.0,0.0,0,0,False,True,False,True,False,False,True,False,False,False,True,False
4.0,490.0,49,129.5,0,92.5,2019,543.1,0,0.0,0.0,-6,6,False,False,True,False,False,False,True,False,False,False,True,False
3.0,515.3,96.8,130,0,102.5,2019,543.1,2,0.0,0.0,-4,4,False,False,True,False,False,False,False,False,False,False,False,True
9.0,411.5,102,144.5,0,100,2019,543.1,3,25.299999999999955,0.5,-3,3,False,False,False,False,False,False,False,True,False,False,False,False
7.0,543.1,96.6,2.5,100,80,2019,543.1,6,-103.79999999999995,3.0,0,0,False,False,True,False,False,False,False,True,False,False,False,True
9.0,379.2,74.2,80,81,0,2021,588.2,0,131.60000000000002,1.0,-1,1,False,True,False,False,False,False,False,False,False,False,True,False
5.0,588.2,72.2,93,88,53,2021,588.2,1,0.0,0.0,0,0,False,True,False,False,True,False,True,False,False,False,True,False
